Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:841d:c680:705c:fae:afdd:4aa8,Harju,2020-07-05T11:07:36.683Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,LV,Apple iPhone 11 Pro,Apple iPhone 11 Pro,193.138.189.182,Jūrmala,2020-07-05T06:43:17.798Z
NFCDSF-01-GAPDX1NW271H56PA8UT8KY5Y4137GU,LV,Safari MAC (Cadmium),Safari MAC (Cadmium),193.138.189.182,Jūrmala,2020-07-04T16:26:48.560Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,LV,Apple iPhone 11 Pro,Apple iPhone 11 Pro,193.138.189.182,Jūrmala,2020-07-04T13:35:55.095Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:841d:c680:524:e2b1:3e3b:41e,Harju,2020-07-02T19:51:44.466Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:841d:c680:206d:6dba:fb45:ae75,Harju,2020-07-02T00:24:35.473Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),90.191.125.118,Harju,2020-07-01T14:16:51.667Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:841d:c680:a149:30d9:38ee:8337,Harju,2020-07-01T11:11:57.368Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:841d:c680:3520:3f54:10ba:16b4,Harju,2020-07-01T10:24:29.564Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:841d:c680:2412:3ddf:274e:fa01,Harju,2020-06-29T18:59:39.441Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:841d:c680:8dae:cf54:1954:48a9,Harju,2020-06-29T17:44:48.066Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:841d:c680:6803:395e:5abb:abea,Harju,2020-06-29T17:21:36.322Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:841d:c680:a107:d1b8:9831:f7fd,Harju,2020-06-29T12:52:31.294Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:8d67:fcc9:a6dc:59e9,Harju,2020-06-29T08:58:25.425Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:f461:3a49:564a:13a6,Harju,2020-06-28T15:42:14.867Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:fc25:946f:cd8:3d02,Harju,2020-06-28T04:43:30.474Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),88.196.43.100,Harju,2020-06-27T19:51:11.597Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:dca9:48ec:8d57:35d5,Harju,2020-06-27T17:58:25.277Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:6d3f:7fb4:42d8:5bf9,Harju,2020-06-26T08:22:51.184Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:404e:c220:91f1:17d7,Harju,2020-06-24T18:08:43.080Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,88.196.43.100,Harju,2020-06-24T17:20:54.252Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,88.196.43.100,Harju,2020-06-24T09:37:00.755Z
NFCDSF-01-DTCX8M3F9AD3787W24LV5ANWUF44Y7,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:dc92:569f:33db:fc7b,Harju,2020-06-24T09:26:21.806Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:79f2:e9f:cb6a:4b85,Harju,2020-06-24T08:17:28.684Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:ec43:2043:d35a:9f77,Harju,2020-06-24T07:25:46.795Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),88.196.43.100,Harju,2020-06-23T21:02:05.936Z
NFAPPL-03-APPLETV2=1-AA1034CC31DFC3FD4154E569E7395B263357FA335C4615C27A0186AA4477A6C1,EE,Apple TV,Apple TV 2,2001:7d0:8409:2480:7d4c:67d4:cd85:bd3,Harju,2020-06-23T16:24:58.990Z
NFAPPL-03-APPLETV2=1-AA1034CC31DFC3FD4154E569E7395B263357FA335C4615C27A0186AA4477A6C1,EE,Apple TV,Apple TV 2,2001:7d0:8409:2480:7d4c:67d4:cd85:bd3,Harju,2020-06-23T16:24:58.980Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:e4a2:e532:1130:a90b,Harju,2020-06-23T14:29:45.361Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:847f:4db5:d6bf:641e,Harju,2020-06-23T12:07:23.263Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:810e:4c4:acc0:f4e8,Harju,2020-06-23T07:21:34.466Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:340b:82:ebbb:fecf,Harju,2020-06-22T17:40:04.496Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:18cb:a971:7c5f:9f8,Harju,2020-06-22T16:51:26.427Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:11c1:547d:9b8b:27d5,Harju,2020-06-22T10:52:53.399Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:2882:9d64:80d7:fba8,Harju,2020-06-22T05:23:50.507Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:8d1a:c3e0:bef9:8533,Harju,2020-06-21T17:26:38.865Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),88.196.43.100,Harju,2020-06-21T16:37:24.721Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:9d:1cd1:b7e8:7adf,Harju,2020-06-21T15:14:00.943Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,88.196.43.100,Harju,2020-06-21T14:52:48.291Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:5899:f9a3:8325:1ed0,Harju,2020-06-19T12:26:39.144Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:8c53:fb81:7ab3:a32a,Harju,2020-06-19T09:46:53.472Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:1c0f:fa46:e830:6460,Harju,2020-06-18T18:40:41.757Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:152a:3f30:c30d:f8ff,Harju,2020-06-18T17:55:41.671Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),88.196.43.100,Harju,2020-06-18T17:46:40.955Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,88.196.43.100,Harju,2020-06-18T09:08:28.335Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),88.196.43.100,Harju,2020-06-18T08:02:53.802Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,37.157.109.197,Harju,2020-06-17T09:14:46.769Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:458a:4fb5:60e:1193,Harju,2020-06-16T20:32:04.652Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:90c8:4fce:ef12:c90d,Harju,2020-06-16T19:22:24.674Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:187c:1e6:c1bd:7b9,Harju,2020-06-15T20:04:24.037Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:3828:c2a2:4954:c879,Harju,2020-06-14T19:25:37.383Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),84.50.127.40,Harju,2020-06-14T17:15:55.130Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),84.50.127.40,Harju,2020-06-14T13:30:16.529Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:1cd2:fec6:697a:95eb,Harju,2020-06-14T13:05:39.846Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:d051:4db7:1dc7:ce8e,Harju,2020-06-14T11:35:38.155Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,84.50.127.40,Harju,2020-06-14T09:18:57.291Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:acd2:c28:e96:4bf3,Harju,2020-06-14T09:04:12.921Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:81c1:dba5:7505:59c8,Harju,2020-06-13T17:59:43.133Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),84.50.127.40,Harju,2020-06-13T17:16:58.682Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:4900:d06:ebe5:a80a,Harju,2020-06-13T13:27:11.253Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),84.50.127.40,Harju,2020-06-13T13:17:10.160Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:c1c9:4e06:8ece:fc53,Harju,2020-06-13T04:55:44.321Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:42:23ee:4fe4:81a3,Harju,2020-06-12T12:58:07.419Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),84.50.127.40,Harju,2020-06-12T12:37:28.659Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,84.50.127.40,Harju,2020-06-12T12:09:01.753Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:7447:a0ee:6b52:8294,Harju,2020-06-12T11:27:42.573Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,37.157.101.228,Harju,2020-06-12T11:19:32.021Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:f554:4eb7:7d48:e12e,Harju,2020-06-11T19:22:43.497Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:b5b5:db4:1130:c93c,Harju,2020-06-11T17:26:44.996Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:405d:340e:18f0:9337,Harju,2020-06-11T15:04:36.005Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:29fc:4685:37db:2421,Harju,2020-06-11T05:58:38.701Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:29fc:4685:37db:2421,Harju,2020-06-10T19:21:32.608Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:616e:11fc:ca03:4a82,Harju,2020-06-10T18:06:57.997Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:f46b:15d4:4db4:45b8,Harju,2020-06-10T18:04:15.030Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,84.50.127.40,Harju,2020-06-10T13:09:44.653Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:4c8e:4671:6b09:ea6b,Harju,2020-06-10T12:29:18.281Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,37.157.96.72,Harju,2020-06-10T09:46:45.730Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:f458:9e9f:57e9:e68a,Harju,2020-06-10T09:16:14.801Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:e457:12a8:10f8:6940,Harju,2020-06-10T08:29:34.549Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,37.157.96.72,Harju,2020-06-09T19:51:23.454Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:accc:dd65:e549:c6df,Harju,2020-06-09T18:43:35.356Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:7595:ad22:587d:6d22,Harju,2020-06-09T13:54:30.912Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:7018:ec9a:d1f8:b14e,Harju,2020-06-09T12:22:55.199Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:9ef3:87ff:fecb:fe34,Harju,2020-06-09T12:18:35.295Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:25cf:535e:6a91:a2d0,Harju,2020-06-08T18:16:00.353Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:2ca5:610d:504a:5cc9,Harju,2020-06-08T18:10:18.214Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:3d5a:f78d:21c1:1780,Harju,2020-06-08T14:13:08.623Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:9889:cbac:3c83:1f4d,Harju,2020-06-08T10:52:45.411Z
NFCDSF-01-F216Z96DL0E2X5N5TA9DU19QFMK9C8,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),84.50.127.40,Harju,2020-06-08T08:47:13.308Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:3d5a:f78d:21c1:1780,Harju,2020-06-07T08:44:28.626Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,37.157.96.72,Harju,2020-06-06T15:57:47.432Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,194.204.33.28,Harju,2020-06-06T05:33:01.816Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:2534:ba45:4576:584a,Harju,2020-06-06T04:47:08.554Z
NFCDSF-01-GAPDX1NW271H56PA8UT8KY5Y4137GU,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:18b0:5c2b:2272:9a60,Harju,2020-06-05T18:58:15.306Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:cd26:b70a:1a46:a69a,Harju,2020-06-05T18:00:46.008Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:c424:8acd:55d3:69f8,Harju,2020-06-05T11:36:56.308Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:911:c428:de12:ba1d,Harju,2020-06-05T11:19:07.516Z
NFCDSF-01-DTCX8M3F9AD3787W24LV5ANWUF44Y7,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:958e:deb6:3a80:a57,Harju,2020-06-05T09:55:14.230Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:527:58dc:b090:a079,Harju,2020-06-05T09:21:06.980Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:5404:388f:e0c7:c009,Harju,2020-06-05T08:53:28.367Z
NFCDSF-01-GAPDX1NW271H56PA8UT8KY5Y4137GU,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:39a1:8501:e71a:24fb,Harju,2020-06-04T20:53:51.189Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8409:2480:f504:a57:b48c:5b72,Harju,2020-06-04T19:20:12.223Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8409:2480:c88e:2aaf:dd6e:e874,Harju,2020-06-04T15:13:29.572Z
NFCDSF-01-DTCX8M3F9AD3787W24LV5ANWUF44Y7,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8409:2480:958e:deb6:3a80:a57,Harju,2020-06-04T12:13:11.285Z
