Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,EE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,2001:7d0:8413:d380:b819:d0b:7a29:4788,Harju,2021-04-02T18:54:41.041Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:3ca6:7368:22f7:1b9a,Harju,2021-04-02T18:31:51.384Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:3ca6:7368:22f7:1b9a,Harju,2021-04-02T18:31:51.372Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:46a:d833:17e1:3d42,Harju,2021-04-02T17:50:22.456Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:34e9:7377:23f0:5de5,Harju,2021-04-02T11:51:30.596Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-04-01T19:53:40.781Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:5c67:d507:2d7b:d4a0,Harju,2021-04-01T17:06:14.195Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:5c67:d507:2d7b:d4a0,Harju,2021-04-01T08:01:08.097Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,80.235.90.84,Harju,2021-04-01T07:15:23.409Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:5c67:d507:2d7b:d4a0,Harju,2021-04-01T07:07:28.759Z
SLMAC-H4JG58FA3G07NJL05HUUG2151NX09E,EE,Mac,Mac,2001:7d0:8413:d380:a1c7:7a92:76d8:ed22,Harju,2021-03-31T18:39:55.160Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:61b8:60b:29c9:a3e1,Harju,2021-03-28T08:48:47.053Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,EE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,2001:7d0:8413:d380:541d:e68b:d24b:7ec5,Harju,2021-03-27T21:34:00.102Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:61b8:60b:29c9:a3e1,Harju,2021-03-27T13:56:17.219Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,EE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,2001:7d0:8413:d380:50b2:7499:ba7c:d996,Harju,2021-03-26T21:33:28.517Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8413:d380:ac1c:3a38:1763:49a5,Harju,2021-03-24T10:27:27.642Z
NFCDSF-01-GQAY89L47DGQ4TJC1Q3HDJFYNCX623,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8413:d380:a860:feeb:f3a4:e26a,Harju,2021-03-23T20:53:57.948Z
NFCDSF-01-GAPDX1NW271H56PA8UT8KY5Y4137GU,EE,Safari MAC (Cadmium),Safari MAC (Cadmium),2001:7d0:8413:d380:a860:feeb:f3a4:e26a,Harju,2021-03-23T20:53:54.223Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8413:d380:a906:318a:f85c:6673,Harju,2021-03-23T11:49:25.250Z
NFAPPL-01-IPAD8=9-65E242DA16AE7D6FF1C057093661BAA153CB857F50721602ABAC3F4588654EDE,EE,Apple iPad Pro 4 9 (TBD) iPad,Apple iPad Pro 4 9 (TBD) iPad,2001:7d0:8413:d380:1c06:95f0:59a8:a297,Harju,2021-03-21T20:51:22.257Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:2443:8383:e248:8371,Harju,2021-03-21T07:02:37.423Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8413:d380:8cb6:2e5c:1a:439,Harju,2021-03-20T19:23:34.033Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:2443:8383:e248:8371,Harju,2021-03-20T12:51:04.310Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8413:d380:89ae:4f29:246b:1e89,Harju,2021-03-20T10:13:56.364Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:9d83:6343:216:222b,Harju,2021-03-20T09:16:19.374Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,46.131.60.236,Unknown,2021-03-19T11:18:32.515Z
NFAPPL-02-IPHONE10=5-B7EA013A11D70DE83964421E173FDEDE78038C74235EA10BD9D7F56F5D649EAF,EE,Apple iPhone 8 Plus (GSM),Apple iPhone 8 Plus (GSM),2001:7d0:8413:d380:a0d6:abed:b90f:3bb4,Harju,2021-03-19T10:50:50.206Z
NFAPPL-02-IPHONE12=3-D41B7DC2AF08258E2499CECFD37C5D40A4A4C9474453F4E9F71D42AEEBD9A57F,EE,Apple iPhone 11 Pro,Apple iPhone 11 Pro,2001:7d0:8413:d380:5ce2:9a5d:329a:338,Harju,2021-03-18T13:25:04.205Z
